data,indicador,valor,variacao_absoluta,variacao_percentual,media_movel_7,media_movel_30
2024-11-07,Dólar,5.6624,-0.10240000000000027,-1.776297529836257,5.7667,5.635153333333333
2024-11-08,Dólar,5.7648,0.10240000000000027,1.8084204577564433,5.764514285714285,5.645876666666667
2024-11-11,Dólar,5.798,0.033199999999999896,0.5759089647515925,5.767385714285714,5.65754
2024-11-12,Dólar,5.7694,-0.02859999999999996,-0.4932735426008916,5.761971428571428,5.668116666666666
2024-11-13,Dólar,5.7713,0.0019000000000000128,0.03293236731722882,5.759328571428571,5.679476666666667
2024-11-14,Dólar,5.7885,0.017199999999999882,0.29802644118308574,5.759885714285715,5.689593333333334
2024-11-18,Dólar,5.7603,-0.028200000000000003,-0.48717284270536343,5.7592428571428576,5.699316666666666
2024-11-19,Dólar,5.7743,0.014000000000000234,0.24304289707133275,5.7752285714285705,5.7097066666666665
2024-11-21,Dólar,5.8173,0.04300000000000015,0.7446790087110244,5.782728571428572,5.719626666666667
2024-11-22,Dólar,5.8124,-0.0049000000000001265,-0.0842315163391949,5.784785714285715,5.727583333333333
2024-11-25,Dólar,5.8002,-0.012199999999999989,-0.2098960842337072,5.789185714285715,5.73486
2024-11-26,Dólar,5.799,-0.0011999999999998678,-0.020688941760627078,5.793142857142857,5.740616666666666
2024-11-27,Dólar,5.8291,0.030100000000000016,0.5190550094843926,5.798942857142857,5.748103333333334
2024-11-28,Dólar,5.9871,0.15799999999999947,2.710538505086535,5.831342857142857,5.759746666666667
2024-11-29,Dólar,6.0535,0.06639999999999979,1.1090511265888336,5.871228571428572,5.7723666666666675
2024-12-02,Dólar,6.0634,0.00990000000000002,0.16354175270505422,5.906385714285714,5.785286666666667
2024-12-03,Dólar,6.0707,0.00730000000000075,0.12039449813636693,5.943285714285714,5.798736666666667
2024-12-04,Dólar,6.0581,-0.012600000000000833,-0.20755431828290982,5.980128571428572,5.8104466666666665
2024-12-05,Dólar,5.9849,-0.07319999999999993,-1.2082996318977912,6.006685714285715,5.820083333333334
2024-12-06,Dólar,6.0293,0.04440000000000044,0.7418670320306076,6.035285714285714,5.830563333333334
2024-12-09,Dólar,6.057,0.02770000000000028,0.45942315028280056,6.045271428571428,5.842173333333333
2024-12-10,Dólar,6.0529,-0.004100000000000215,-0.06769027571404962,6.045185714285714,5.8540399999999995
2024-12-11,Dólar,6.032,-0.02090000000000014,-0.3452890350080118,6.0407,5.865146666666666
2024-12-12,Dólar,5.9408,-0.09119999999999973,-1.511936339522546,6.022142857142858,5.872706666666667
2024-12-13,Dólar,6.04,0.09919999999999973,1.6698087799623007,6.019557142857143,5.88137
2024-12-16,Dólar,6.0509,0.010900000000000354,0.18046357615895126,6.0289857142857155,5.89047
2024-12-17,Dólar,6.1685,0.11759999999999948,1.9435125353253202,6.048871428571429,5.90251
2024-12-18,Dólar,6.1624,-0.006099999999999994,-0.09888951933209045,6.063928571428572,5.91493
2024-12-19,Dólar,6.1841,0.021700000000000053,0.35213553161106415,6.082671428571429,5.928246666666666
2024-12-20,Dólar,6.078,-0.10609999999999964,-1.7156902378680727,6.089242857142857,5.9386866666666664
2024-12-23,Dólar,6.1612,0.08319999999999972,1.368871339256339,6.120728571428572,5.955313333333334
2024-12-24,Dólar,6.1541,-0.007100000000000328,-0.11523729143674277,6.137028571428571,5.96829
2024-12-26,Dólar,6.1656,0.011500000000000732,0.18686729172423533,6.153414285714285,5.980543333333332
2024-12-27,Dólar,6.1991,0.0334999999999992,0.5433372258985214,6.157785714285715,5.994866666666667
2024-12-30,Dólar,6.1923,-0.006799999999999251,-0.1096933425819735,6.162057142857143,6.0089
2024-12-31,Dólar,6.1923,0.0,0.0,6.163228571428571,6.022360000000001
2025-01-02,Dólar,6.2086,0.016299999999999315,0.26323014065854355,6.181885714285714,6.037303333333333
2025-01-03,Dólar,6.1563,-0.05229999999999979,-0.8423799246206842,6.181185714285715,6.050036666666667
2025-01-06,Dólar,6.1119,-0.04439999999999955,-0.7212124165488887,6.1751571428571435,6.059856666666667
2025-01-07,Dólar,6.0741,-0.03780000000000072,-0.6184656162568247,6.162085714285715,6.06858
